customer_id,tenure_months,monthly_charges,total_charges,num_products,support_calls_6m,late_payments,contract_type,payment_method,internet_service,online_security,age_group,churned
CUST00001,22,92.41,1960.5,1,2,0,Two year,Bank transfer,DSL,No,18-25,0
CUST00002,8,101.37,854.54,1,3,0,Two year,Mailed check,No,No internet,51-65,1
CUST00003,37,88.56,3202.51,2,10,3,Two year,Electronic check,Fiber optic,No internet,51-65,1
CUST00004,62,111.94,6458.82,5,5,3,Month-to-month,Mailed check,Fiber optic,Yes,36-50,1
CUST00005,3,63.17,181.92,1,7,0,Two year,Bank transfer,Fiber optic,Yes,36-50,1
CUST00006,27,114.19,3034.5,4,7,3,One year,Electronic check,Fiber optic,No internet,51-65,1
CUST00007,18,92.33,1564.19,2,3,1,Two year,Electronic check,Fiber optic,No internet,51-65,1
CUST00008,48,84.4,3819.08,2,7,1,Two year,Mailed check,DSL,Yes,26-35,0
CUST00009,44,75.17,3080.4,4,8,6,Month-to-month,Mailed check,DSL,No internet,26-35,1
CUST00010,50,76.74,3585.55,5,2,6,Month-to-month,Mailed check,Fiber optic,No,26-35,0
CUST00011,17,96.26,1632.06,5,9,2,Two year,Credit card,No,Yes,18-25,1
CUST00012,11,22.15,264.12,1,5,0,Month-to-month,Bank transfer,DSL,No,18-25,0
CUST00013,47,82.32,3726.27,4,7,5,Two year,Bank transfer,Fiber optic,No,18-25,1
CUST00014,72,35.98,2787.73,2,6,1,Month-to-month,Mailed check,No,No,26-35,0
CUST00015,15,86.39,1204.27,4,1,0,Month-to-month,Mailed check,Fiber optic,No,51-65,0
CUST00016,22,96.71,2164.29,3,7,1,One year,Electronic check,Fiber optic,Yes,36-50,1
CUST00017,9,37.72,347.9,4,2,0,Two year,Bank transfer,No,No,36-50,0
CUST00018,11,55.47,669.18,4,0,1,One year,Bank transfer,No,No,65+,1
CUST00019,4,68.96,298.23,1,10,0,Two year,Electronic check,Fiber optic,No,51-65,1
CUST00020,44,24.05,1111.11,4,10,1,Two year,Credit card,No,No internet,18-25,0
CUST00021,39,58.07,2447.96,4,6,0,Two year,Electronic check,No,No,36-50,0
CUST00022,47,100.31,5048.01,4,6,5,One year,Bank transfer,Fiber optic,No,36-50,1
CUST00023,11,111.34,1327.32,1,10,1,Two year,Credit card,DSL,Yes,18-25,1
CUST00024,32,27.44,855.84,2,9,1,Month-to-month,Credit card,No,No,65+,1
CUST00025,10,35.62,365.19,4,10,1,Two year,Credit card,No,Yes,18-25,1
CUST00026,18,39.95,754.49,1,2,0,One year,Bank transfer,DSL,Yes,18-25,0
CUST00027,50,52.04,2617.27,4,3,7,Two year,Bank transfer,Fiber optic,No,65+,0
CUST00028,8,64.25,514.78,1,2,0,Two year,Bank transfer,No,Yes,18-25,0
CUST00029,25,38.7,932.94,2,2,3,Two year,Electronic check,No,No,65+,1
CUST00030,37,41.83,1470.62,3,3,4,Two year,Electronic check,Fiber optic,Yes,18-25,1
CUST00031,8,26.28,203.69,1,9,1,Month-to-month,Mailed check,DSL,No internet,18-25,1
CUST00032,41,78.81,3500.26,3,10,4,One year,Electronic check,Fiber optic,No,51-65,1
CUST00033,48,69.97,3535.5,3,8,3,Month-to-month,Bank transfer,DSL,No internet,36-50,1
CUST00034,53,66.49,3496.93,4,7,7,One year,Mailed check,DSL,Yes,36-50,1
