date,region,category,revenue,orders,avg_order_value,return_rate,discount_pct,customer_satisfaction
2023-01-01,North,Electronics,6456.77,127,50.84,0.108,0.27,3.2
2023-01-01,South,Clothing,6448.13,120,53.73,0.05,0.18,4.1
2023-01-01,East,Books,6401.18,119,53.79,0.125,0.0,4.6
2023-01-01,West,Clothing,6044.21,102,59.26,0.048,0.23,3.2
2023-01-01,Central,Electronics,6293.85,121,52.02,0.115,0.16,4.9
2023-01-02,North,Sports,6695.08,127,52.72,0.135,0.11,3.4
2023-01-02,South,Clothing,6901.25,114,60.54,0.133,0.11,3.9
2023-01-02,East,Books,6688.15,108,61.93,0.047,0.08,4.9
2023-01-02,West,Clothing,6255.53,129,48.49,0.08,0.08,4.9
2023-01-02,Central,Books,6171.65,105,58.78,0.13,0.23,3.5
2023-01-03,North,Sports,6758.52,134,50.44,0.134,0.09,4.3
2023-01-03,South,Home,6554.95,123,53.29,0.039,0.04,4.5
2023-01-03,East,Books,6020.08,112,53.75,0.049,0.3,4.0
2023-01-03,West,Electronics,6382.03,136,46.93,0.04,0.05,4.4
2023-01-03,Central,Books,6259.54,109,57.43,0.146,0.26,3.0
2023-01-04,North,Sports,6335.57,106,59.77,0.118,0.23,3.7
2023-01-04,South,Books,6456.42,143,45.15,0.146,0.23,4.0
2023-01-04,East,Sports,6673.44,141,47.33,0.099,0.05,4.5
2023-01-04,West,Electronics,21885.57,160,136.78,0.035,0.11,5.0
2023-01-04,Central,Clothing,6376.35,104,61.31,0.134,0.28,3.2
2023-01-05,North,Clothing,6392.07,106,60.3,0.106,0.28,3.3
2023-01-05,South,Clothing,6515.24,117,55.69,0.141,0.23,4.4
2023-01-05,East,Sports,6435.41,110,58.5,0.079,0.07,3.1
2023-01-05,West,Sports,6210.69,136,45.67,0.049,0.02,4.3
2023-01-05,Central,Clothing,6591.21,105,62.77,0.056,0.15,4.1
2023-01-06,North,Sports,7152.4,120,59.6,0.081,0.24,4.6
2023-01-06,South,Home,6556.11,122,53.74,0.132,0.02,4.3
2023-01-06,East,Books,6632.65,114,58.18,0.124,0.03,3.4
2023-01-06,West,Electronics,6345.95,130,48.81,0.078,0.26,4.1
2023-01-06,Central,Electronics,6469.3,140,46.21,0.146,0.28,4.7
2023-01-07,North,Electronics,6681.51,135,49.49,0.041,0.0,3.8
2023-01-07,South,Books,6807.08,107,63.62,0.075,0.29,5.0
2023-01-07,East,Electronics,6059.29,125,48.47,0.095,0.16,4.5
2023-01-07,West,Sports,6343.92,137,46.31,0.14,0.16,3.1
2023-01-07,Central,Clothing,5922.84,127,46.64,0.072,0.28,4.1
2023-01-08,North,Electronics,6480.39,114,56.85,0.074,0.18,4.0
2023-01-08,South,Home,6695.16,112,59.78,0.037,0.19,3.9
2023-01-08,East,Electronics,6428.31,101,63.65,0.08,0.3,5.0
2023-01-08,West,Electronics,6695.29,133,50.34,0.134,0.11,3.3
2023-01-08,Central,Sports,6601.47,107,61.7,0.148,0.24,4.1
2023-01-09,North,Clothing,6322.22,99,63.86,0.054,0.27,4.5
2023-01-09,South,Clothing,6178.64,128,48.27,0.113,0.06,4.3
2023-01-09,East,Electronics,6480.02,102,63.53,0.102,0.25,3.1
2023-01-09,West,Books,6856.56,132,51.94,0.041,0.13,4.4
2023-01-09,Central,Clothing,6374.94,99,64.39,0.091,0.25,4.2
2023-01-10,North,Books,6457.25,134,48.19,0.067,0.28,4.9
2023-01-10,South,Books,6785.33,115,59.0,0.121,0.27,3.8
2023-01-10,East,Clothing,6581.85,114,57.74,0.132,0.29,4.6
2023-01-10,West,Home,6561.22,109,60.19,0.124,0.26,4.6
2023-01-10,Central,Electronics,6466.24,128,50.52,0.07,0.01,3.9
2023-01-11,North,Clothing,6722.41,129,52.11,0.049,0.2,3.8
2023-01-11,South,Books,7151.39,141,50.72,0.066,0.15,4.4
2023-01-11,East,Books,6662.49,146,45.63,0.043,0.29,3.5
2023-01-11,West,Books,6289.33,133,47.29,0.077,0.3,3.2
2023-01-11,Central,Sports,6670.37,145,46.0,0.14,0.16,4.4
2023-01-12,North,Books,6399.45,106,60.37,0.076,0.28,4.8
2023-01-12,South,Sports,6197.79,130,47.68,0.06,0.12,3.8
2023-01-12,East,Home,6205.05,121,51.28,0.106,0.11,4.5
2023-01-12,West,Books,6693.29,125,53.55,0.057,0.13,4.2
2023-01-12,Central,Home,6860.21,118,58.14,0.108,0.15,4.6
2023-01-13,North,Sports,6989.83,120,58.25,0.064,0.25,4.5
2023-01-13,South,Clothing,6393.5,109,58.66,0.039,0.01,5.0
2023-01-13,East,Sports,6122.97,113,54.19,0.045,0.21,4.0
2023-01-13,West,Electronics,6185.48,124,49.88,0.136,0.26,4.8
2023-01-13,Central,Home,6553.2,107,61.24,0.027,0.07,4.7
2023-01-14,North,Sports,6309.57,116,54.39,0.148,0.18,4.9
2023-01-14,South,Sports,6837.77,115,59.46,0.078,0.05,4.7
2023-01-14,East,Books,6256.56,115,54.4,0.12,0.16,4.3
2023-01-14,West,Books,6498.52,128,50.77,0.136,0.02,3.3
2023-01-14,Central,Clothing,6636.12,126,52.67,0.028,0.12,4.1
2023-01-15,North,Sports,6342.09,118,53.75,0.143,0.01,4.8
2023-01-15,South,Books,6621.48,117,56.59,0.059,0.12,4.8
2023-01-15,East,Clothing,6709.69,112,59.91,0.083,0.08,4.0
2023-01-15,West,Home,6198.25,117,52.98,0.114,0.25,4.8
2023-01-15,Central,Electronics,6886.46,109,63.18,0.031,0.13,4.7
2023-01-16,North,Books,6474.89,133,48.68,0.048,0.1,4.5
2023-01-16,South,Electronics,6156.38,99,62.19,0.081,0.22,3.1
2023-01-16,East,Electronics,6864.64,107,64.16,0.122,0.2,4.5
2023-01-16,West,Clothing,6709.8,147,45.64,0.082,0.03,4.9
2023-01-16,Central,Books,6457.41,118,54.72,0.042,0.18,4.5
2023-01-17,North,Electronics,6938.35,107,64.84,0.141,0.17,4.8
2023-01-17,South,Clothing,6886.77,131,52.57,0.03,0.21,4.3
2023-01-17,East,Electronics,6934.99,111,62.48,0.124,0.17,3.1
2023-01-17,West,Electronics,6829.4,122,55.98,0.086,0.1,4.7
2023-01-17,Central,Home,6583.2,102,64.54,0.112,0.13,4.5
2023-01-18,North,Sports,6395.01,99,64.6,0.121,0.14,4.7
2023-01-18,South,Books,6301.11,126,50.01,0.135,0.07,3.9
2023-01-18,East,Electronics,6377.06,111,57.45,0.084,0.1,4.0
2023-01-18,West,Books,6380.36,126,50.64,0.092,0.15,3.4
2023-01-18,Central,Sports,6705.75,134,50.04,0.119,0.21,4.3
2023-01-19,North,Clothing,5992.12,127,47.18,0.06,0.17,3.9
2023-01-19,South,Sports,6554.32,117,56.02,0.063,0.21,3.5
2023-01-19,East,Sports,6522.29,133,49.04,0.144,0.21,3.4
2023-01-19,West,Sports,6675.76,111,60.14,0.147,0.16,3.6
2023-01-19,Central,Electronics,6682.7,134,49.87,0.112,0.04,3.1
2023-01-20,North,Clothing,6641.32,144,46.12,0.103,0.23,3.2
2023-01-20,South,Electronics,6769.61,124,54.59,0.053,0.26,3.2
2023-01-20,East,Sports,6543.84,141,46.41,0.102,0.02,3.3
2023-01-20,West,Home,6289.26,96,65.51,0.099,0.24,3.5
2023-01-20,Central,Home,6426.73,115,55.88,0.059,0.18,3.9
2023-01-21,North,Clothing,6430.19,100,64.3,0.101,0.08,3.2
2023-01-21,South,Clothing,6482.06,130,49.86,0.02,0.14,4.2
2023-01-21,East,Home,6470.45,109,59.36,0.029,0.07,3.5
2023-01-21,West,Clothing,6736.68,110,61.24,0.075,0.16,4.3
2023-01-21,Central,Books,6997.42,150,46.65,0.097,0.25,4.8
2023-01-22,North,Books,6221.92,115,54.1,0.111,0.28,4.0
2023-01-22,South,Books,6404.8,139,46.08,0.098,0.01,3.5
2023-01-22,East,Sports,6532.36,111,58.85,0.144,0.3,4.3
2023-01-22,West,Home,6517.06,108,60.34,0.139,0.05,4.2
2023-01-22,Central,Electronics,6612.9,114,58.01,0.081,0.12,3.6
2023-01-23,North,Home,6669.53,125,53.36,0.126,0.17,3.9
2023-01-23,South,Home,6637.41,129,51.45,0.132,0.25,3.0
2023-01-23,East,Sports,6756.57,146,46.28,0.118,0.19,4.5
2023-01-23,West,Books,6284.48,128,49.1,0.077,0.21,3.2
2023-01-23,Central,Sports,6934.1,139,49.89,0.022,0.12,3.4
2023-01-24,North,Electronics,6461.17,104,62.13,0.104,0.05,4.9
2023-01-24,South,Home,6408.24,120,53.4,0.052,0.17,3.8
2023-01-24,East,Clothing,6983.1,110,63.48,0.132,0.08,4.6
2023-01-24,West,Books,5927.84,107,55.4,0.114,0.25,4.2
2023-01-24,Central,Home,6886.72,118,58.36,0.09,0.1,4.1
2023-01-25,North,Clothing,6213.03,120,51.78,0.094,0.07,4.6
2023-01-25,South,Home,6442.38,140,46.02,0.07,0.2,4.6
2023-01-25,East,Sports,6879.81,150,45.87,0.063,0.03,4.7
2023-01-25,West,Electronics,6489.32,138,47.02,0.114,0.12,4.3
2023-01-25,Central,Home,6722.5,104,64.64,0.104,0.26,4.7
2023-01-26,North,Books,6811.44,109,62.49,0.101,0.27,4.0
2023-01-26,South,Books,6130.66,123,49.84,0.15,0.22,3.9
2023-01-26,East,Electronics,6426.82,136,47.26,0.078,0.21,4.8
2023-01-26,West,Clothing,7045.67,138,51.06,0.052,0.12,4.4
2023-01-26,Central,Sports,6685.29,137,48.8,0.133,0.19,3.5
2023-01-27,North,Books,6676.48,123,54.28,0.107,0.27,3.9
2023-01-27,South,Electronics,6447.31,127,50.77,0.077,0.1,4.2
2023-01-27,East,Clothing,6331.56,126,50.25,0.15,0.26,3.2
2023-01-27,West,Books,6292.56,119,52.88,0.149,0.09,5.0
2023-01-27,Central,Electronics,6403.11,113,56.66,0.138,0.22,4.7
2023-01-28,North,Clothing,6333.98,100,63.34,0.099,0.11,4.3
2023-01-28,South,Clothing,6208.06,104,59.69,0.102,0.27,4.3
2023-01-28,East,Sports,6224.54,121,51.44,0.067,0.04,4.8
2023-01-28,West,Books,6391.31,130,49.16,0.089,0.27,4.7
2023-01-28,Central,Home,6810.92,135,50.45,0.146,0.09,4.7
2023-01-29,North,Clothing,6649.45,142,46.83,0.132,0.22,5.0
2023-01-29,South,Books,6218.93,96,64.78,0.032,0.12,3.5
2023-01-29,East,Home,6741.98,112,60.2,0.127,0.28,3.2
2023-01-29,West,Sports,6738.37,135,49.91,0.063,0.18,4.3
2023-01-29,Central,Electronics,6315.74,107,59.03,0.038,0.28,3.6
2023-01-30,North,Sports,6286.09,114,55.14,0.038,0.14,4.3
2023-01-30,South,Clothing,6506.84,121,53.78,0.135,0.2,4.7
2023-01-30,East,Books,5813.97,101,57.56,0.024,0.11,3.9
2023-01-30,West,Sports,7099.86,151,47.02,0.137,0.19,3.1
2023-01-30,Central,Home,6357.7,125,50.86,0.032,0.06,4.3
2023-01-31,North,Sports,6634.45,128,51.83,0.047,0.25,4.1
2023-01-31,South,Clothing,6521.92,114,57.21,0.063,0.04,4.8
2023-01-31,East,Books,7132.47,148,48.19,0.124,0.03,4.7
2023-01-31,West,Clothing,6549.95,137,47.81,0.097,0.0,3.5
2023-01-31,Central,Home,6758.67,142,47.6,0.121,0.15,3.2
2023-02-01,North,Electronics,6764.89,122,55.45,0.115,0.27,4.3
2023-02-01,South,Home,6403.39,140,45.74,0.075,0.03,4.4
2023-02-01,East,Books,6949.01,128,54.29,0.099,0.02,3.6
2023-02-01,West,Sports,6287.14,122,51.53,0.058,0.15,3.9
2023-02-01,Central,Sports,6260.01,102,61.37,0.114,0.06,3.9
2023-02-02,North,Electronics,6578.78,121,54.37,0.061,0.09,3.5
2023-02-02,South,Home,6812.47,106,64.27,0.029,0.25,3.2
2023-02-02,East,Sports,6945.84,113,61.47,0.144,0.17,4.3
2023-02-02,West,Home,6822.3,128,53.3,0.133,0.22,4.9
2023-02-02,Central,Home,6316.49,111,56.91,0.049,0.03,4.7
2023-02-03,North,Sports,6378.58,121,52.72,0.049,0.13,4.1
2023-02-03,South,Sports,6589.05,112,58.83,0.141,0.25,3.5
2023-02-03,East,Books,6127.52,126,48.63,0.14,0.11,3.4
2023-02-03,West,Electronics,6816.23,146,46.69,0.032,0.16,3.8
2023-02-03,Central,Books,6887.28,127,54.23,0.114,0.23,4.1
2023-02-04,North,Electronics,6629.54,137,48.39,0.055,0.2,4.0
2023-02-04,South,Sports,6594.82,122,54.06,0.035,0.13,3.6
2023-02-04,East,Home,6394.15,109,58.66,0.148,0.02,3.4
2023-02-04,West,Books,6232.59,97,64.25,0.058,0.04,4.0
2023-02-04,Central,Sports,6401.58,115,55.67,0.128,0.24,3.1
2023-02-05,North,Electronics,6612.54,106,62.38,0.08,0.02,3.6
2023-02-05,South,Home,6270.18,108,58.06,0.023,0.1,4.6
2023-02-05,East,Books,6677.23,116,57.56,0.031,0.25,3.5
2023-02-05,West,Books,6235.95,117,53.3,0.049,0.23,3.2
2023-02-05,Central,Clothing,6352.28,110,57.75,0.138,0.1,4.5
2023-02-06,North,Clothing,6778.63,136,49.84,0.043,0.05,4.5
2023-02-06,South,Home,6047.02,130,46.52,0.08,0.17,4.2
2023-02-06,East,Books,6287.16,108,58.21,0.132,0.19,3.3
