transaction_id,timestamp,amount,merchant_category,payment_method,country,customer_age,transaction_hour,is_weekend,distance_from_home_km,is_fraud
TXN000001,2024-04-04T03:17:00,41.68,retail,digital_wallet,UK,54,22,1,11.6,0
TXN000002,2024-01-17T06:38:00,348.45,retail,digital_wallet,CA,18,13,1,1.0,0
TXN000003,2024-02-21T08:23:00,4.65,healthcare,debit,FR,30,1,0,7.8,0
TXN000004,2024-02-05T17:07:00,7.73,restaurant,credit,FR,35,1,0,5.2,0
TXN000005,2024-02-13T00:47:00,261.98,online,digital_wallet,UK,21,5,0,16.8,0
TXN000006,2024-03-22T09:03:00,135.43,online,credit,JP,51,20,1,3.4,0
TXN000007,2024-05-20T11:14:00,40.7,travel,debit,DE,47,18,0,35.7,0
TXN000008,2024-04-08T02:44:00,105.33,restaurant,debit,CA,49,21,0,0.2,0
TXN000009,2024-08-13T05:11:00,5.79,retail,credit,CA,76,20,1,7.7,0
TXN000010,2024-09-26T10:12:00,247.54,online,credit,JP,80,20,1,0.0,0
TXN000011,2024-12-22T04:53:00,26446.38,restaurant,digital_wallet,FR,68,4,0,7.5,1
TXN000012,2024-07-16T02:19:00,11.4,travel,digital_wallet,UK,53,12,0,8.0,0
TXN000013,2024-11-17T21:41:00,298.56,online,digital_wallet,AU,67,6,0,18.6,0
TXN000014,2024-08-28T13:59:00,71.92,healthcare,credit,JP,70,4,1,1.0,0
TXN000015,2024-01-06T11:38:00,13.65,healthcare,debit,AU,52,2,0,3.6,0
TXN000016,2024-01-04T22:14:00,62.19,grocery,digital_wallet,UK,77,17,0,21.3,0
TXN000017,2024-08-23T02:19:00,17.06,online,digital_wallet,DE,58,1,0,14.4,0
TXN000018,2024-02-22T07:47:00,10.99,restaurant,credit,CA,77,15,0,19.2,0
TXN000019,2024-07-07T05:54:00,69.4,restaurant,credit,US,79,15,0,11.1,0
TXN000020,2024-05-16T18:41:00,463.39,travel,debit,US,28,12,1,8.1,0
TXN000021,2024-12-08T04:26:00,62.32,travel,debit,DE,47,19,1,5.4,0
TXN000022,2024-02-23T08:29:00,327.66,online,credit,UK,28,2,1,21.8,0
TXN000023,2024-10-12T04:26:00,47.96,online,debit,UK,30,0,0,5.8,0
TXN000024,2024-06-10T08:30:00,46.68,healthcare,debit,CA,79,13,0,1.5,0
TXN000025,2024-02-18T10:41:00,3.75,retail,credit,DE,52,21,0,6.7,0
TXN000026,2024-11-17T22:02:00,24.26,restaurant,debit,DE,46,23,0,0.8,0
TXN000027,2024-08-07T09:11:00,9.31,restaurant,digital_wallet,UK,40,6,0,5.0,0
