date,product_id,warehouse,stock_level,daily_demand,units_ordered,lead_time_days,unit_cost,days_of_supply,stockout_risk
2024-01-01,PROD0001,WH-SOUTH,923,554,247,6,60.63,1.7,1
2024-01-02,PROD0001,WH-NORTH,476,499,341,6,88.29,1.0,1
2024-01-03,PROD0001,WH-NORTH,1031,353,10,8,115.82,2.9,1
2024-01-04,PROD0001,WH-NORTH,604,540,339,13,135.96,1.1,1
2024-01-05,PROD0001,WH-NORTH,578,277,85,9,95.21,2.1,1
2024-01-06,PROD0001,WH-EAST,1227,433,24,6,132.38,2.8,1
2024-01-07,PROD0001,WH-NORTH,594,579,381,3,9.32,1.0,1
2024-01-08,PROD0001,WH-SOUTH,366,420,298,13,43.63,0.9,1
2024-01-09,PROD0001,WH-SOUTH,650,395,179,2,116.83,1.6,1
2024-01-10,PROD0001,WH-EAST,1039,570,224,13,54.31,1.8,1
2024-01-11,PROD0001,WH-SOUTH,236,401,323,4,75.31,0.6,1
2024-01-12,PROD0001,WH-NORTH,929,544,235,12,81.88,1.7,1
2024-01-13,PROD0001,WH-NORTH,263,354,267,12,165.92,0.7,1
2024-01-14,PROD0001,WH-EAST,1001,409,76,12,121.51,2.4,1
2024-01-15,PROD0001,WH-SOUTH,1162,182,0,4,94.69,6.4,0
2024-01-16,PROD0001,WH-SOUTH,1152,367,0,11,182.51,3.1,0
2024-01-17,PROD0001,WH-SOUTH,789,388,125,14,64.73,2.0,1
2024-01-18,PROD0001,WH-SOUTH,934,354,43,13,103.88,2.6,1
2024-01-19,PROD0001,WH-NORTH,323,244,137,13,26.29,1.3,1
2024-01-20,PROD0001,WH-NORTH,951,393,76,9,147.22,2.4,1
2024-01-21,PROD0001,WH-NORTH,747,344,95,12,59.57,2.2,1
2024-01-22,PROD0001,WH-EAST,1194,466,68,4,97.78,2.6,1
2024-01-23,PROD0001,WH-SOUTH,309,418,315,13,10.93,0.7,1
2024-01-24,PROD0001,WH-SOUTH,490,295,132,12,76.48,1.7,1
2024-01-25,PROD0001,WH-NORTH,287,213,118,10,20.49,1.3,1
2024-01-26,PROD0001,WH-NORTH,211,420,350,10,145.1,0.5,1
2024-01-27,PROD0001,WH-EAST,370,420,297,6,137.44,0.9,1
2024-01-28,PROD0001,WH-EAST,1017,369,30,4,91.26,2.8,1
2024-01-29,PROD0001,WH-SOUTH,1159,475,89,14,58.22,2.4,1
2024-01-30,PROD0001,WH-NORTH,921,425,118,12,198.98,2.2,1
2024-01-31,PROD0001,WH-NORTH,673,464,240,13,90.89,1.5,1
2024-02-01,PROD0001,WH-NORTH,993,519,188,7,28.34,1.9,1
2024-02-02,PROD0001,WH-SOUTH,217,384,312,9,152.54,0.6,1
2024-02-03,PROD0001,WH-EAST,848,459,177,10,80.15,1.8,1
2024-02-04,PROD0001,WH-SOUTH,1104,432,64,14,185.66,2.6,1
2024-02-05,PROD0001,WH-SOUTH,274,317,226,5,26.72,0.9,1
2024-02-06,PROD0001,WH-EAST,232,549,472,11,114.09,0.4,1
2024-02-07,PROD0001,WH-SOUTH,236,492,414,2,97.88,0.5,1
2024-02-08,PROD0001,WH-SOUTH,419,446,307,5,25.56,0.9,1
2024-02-09,PROD0001,WH-NORTH,402,473,339,13,65.71,0.8,1
2024-02-10,PROD0001,WH-NORTH,553,478,294,12,139.61,1.2,1
2024-02-11,PROD0001,WH-EAST,826,272,0,2,107.47,3.0,0
2024-02-12,PROD0001,WH-NORTH,627,159,0,11,16.46,3.9,0
2024-02-13,PROD0001,WH-NORTH,876,421,129,14,28.64,2.1,1
2024-02-14,PROD0001,WH-SOUTH,803,425,158,7,40.1,1.9,1
2024-02-15,PROD0001,WH-NORTH,536,313,135,4,50.74,1.7,1
2024-02-16,PROD0001,WH-EAST,282,343,249,14,179.27,0.8,1
2024-02-17,PROD0001,WH-SOUTH,564,318,130,14,126.11,1.8,1
2024-02-18,PROD0001,WH-EAST,407,400,265,10,109.99,1.0,1
2024-02-19,PROD0001,WH-NORTH,1113,455,84,9,70.56,2.4,1
2024-02-20,PROD0001,WH-SOUTH,378,252,126,3,189.63,1.5,1
2024-02-21,PROD0001,WH-SOUTH,731,433,190,12,73.16,1.7,1
2024-02-22,PROD0001,WH-SOUTH,923,399,92,12,110.54,2.3,1
2024-02-23,PROD0001,WH-SOUTH,552,417,233,7,13.4,1.3,1
2024-02-24,PROD0001,WH-NORTH,839,407,128,5,81.21,2.1,1
2024-02-25,PROD0001,WH-SOUTH,336,321,209,7,25.35,1.0,1
2024-02-26,PROD0001,WH-EAST,1139,324,0,4,12.68,3.5,0
2024-02-27,PROD0001,WH-EAST,872,459,169,7,183.09,1.9,1
2024-02-28,PROD0001,WH-SOUTH,904,232,0,4,25.68,3.9,0
2024-02-29,PROD0001,WH-NORTH,403,455,321,11,181.33,0.9,1
2024-03-01,PROD0001,WH-EAST,314,365,261,14,177.9,0.9,1
2024-03-02,PROD0001,WH-EAST,657,205,0,12,176.02,3.2,0
2024-03-03,PROD0001,WH-EAST,634,477,266,7,108.92,1.3,1
2024-03-04,PROD0001,WH-SOUTH,1186,302,0,12,163.15,3.9,0
2024-03-05,PROD0001,WH-SOUTH,652,447,230,6,190.18,1.5,1
2024-03-06,PROD0001,WH-EAST,874,295,4,7,47.24,3.0,1
2024-03-07,PROD0001,WH-NORTH,689,407,178,6,117.12,1.7,1
2024-03-08,PROD0001,WH-EAST,964,438,117,11,106.7,2.2,1
2024-03-09,PROD0001,WH-NORTH,355,382,264,9,111.58,0.9,1
2024-03-10,PROD0001,WH-NORTH,245,409,328,8,72.19,0.6,1
2024-03-11,PROD0001,WH-SOUTH,1026,416,74,8,158.34,2.5,1
2024-03-12,PROD0001,WH-NORTH,919,447,141,14,156.6,2.1,1
2024-03-13,PROD0001,WH-EAST,1188,488,92,4,96.58,2.4,1
2024-03-14,PROD0001,WH-SOUTH,713,429,192,9,198.09,1.7,1
2024-03-15,PROD0001,WH-NORTH,1218,482,76,2,10.24,2.5,1
2024-03-16,PROD0001,WH-EAST,723,427,186,3,76.64,1.7,1
2024-03-17,PROD0001,WH-SOUTH,350,320,204,14,80.73,1.1,1
2024-03-18,PROD0001,WH-SOUTH,1009,517,181,9,163.18,2.0,1
2024-03-19,PROD0001,WH-NORTH,423,423,282,13,190.98,1.0,1
2024-03-20,PROD0001,WH-NORTH,480,583,423,12,84.1,0.8,1
2024-03-21,PROD0001,WH-EAST,875,444,153,7,89.57,2.0,1
2024-03-22,PROD0001,WH-SOUTH,1117,469,97,13,161.53,2.4,1
2024-03-23,PROD0001,WH-SOUTH,0,384,384,14,13.48,0.0,1
2024-03-24,PROD0001,WH-SOUTH,1167,502,113,14,51.72,2.3,1
2024-03-25,PROD0001,WH-NORTH,1098,436,70,14,59.17,2.5,1
2024-03-26,PROD0001,WH-SOUTH,881,298,5,5,80.57,3.0,1
2024-03-27,PROD0001,WH-EAST,653,338,121,8,51.48,1.9,1
2024-03-28,PROD0001,WH-SOUTH,396,486,354,9,143.04,0.8,1
2024-03-29,PROD0001,WH-EAST,1024,361,20,7,54.72,2.8,1
2024-03-30,PROD0001,WH-SOUTH,644,341,127,14,110.15,1.9,1
2024-03-31,PROD0001,WH-NORTH,716,478,240,9,103.65,1.5,1
2024-04-01,PROD0001,WH-EAST,461,495,342,10,102.61,0.9,1
2024-04-02,PROD0001,WH-SOUTH,382,332,205,12,116.53,1.2,1
2024-04-03,PROD0001,WH-EAST,415,452,314,14,107.21,0.9,1
2024-04-04,PROD0001,WH-NORTH,1066,433,78,7,114.82,2.5,1
2024-04-05,PROD0001,WH-NORTH,1047,500,151,12,140.73,2.1,1
2024-04-06,PROD0001,WH-EAST,501,423,256,6,184.98,1.2,1
2024-04-07,PROD0001,WH-EAST,1019,356,17,6,26.54,2.9,1
2024-04-08,PROD0001,WH-SOUTH,1179,482,89,8,6.38,2.4,1
2024-04-09,PROD0001,WH-NORTH,1063,368,14,8,138.7,2.9,1
2024-04-10,PROD0001,WH-EAST,962,504,184,8,100.85,1.9,1
2024-04-11,PROD0001,WH-SOUTH,666,437,215,9,145.32,1.5,1
2024-04-12,PROD0001,WH-SOUTH,599,291,92,8,14.14,2.1,1
2024-04-13,PROD0001,WH-EAST,892,403,106,4,119.29,2.2,1
2024-04-14,PROD0001,WH-NORTH,523,418,244,3,100.75,1.3,1
2024-04-15,PROD0001,WH-NORTH,755,508,257,11,113.87,1.5,1
2024-04-16,PROD0001,WH-SOUTH,704,450,216,6,149.38,1.6,1
2024-04-17,PROD0001,WH-SOUTH,283,415,321,13,12.92,0.7,1
2024-04-18,PROD0001,WH-EAST,1117,416,44,9,157.81,2.7,1
2024-04-19,PROD0001,WH-NORTH,1009,421,85,8,161.08,2.4,1
2024-04-20,PROD0001,WH-SOUTH,348,509,393,5,118.91,0.7,1
2024-04-21,PROD0001,WH-NORTH,294,413,315,3,111.08,0.7,1
2024-04-22,PROD0001,WH-NORTH,399,557,424,5,165.06,0.7,1
2024-04-23,PROD0001,WH-SOUTH,319,441,335,12,9.18,0.7,1
2024-04-24,PROD0001,WH-SOUTH,567,386,197,7,107.0,1.5,1
2024-04-25,PROD0001,WH-SOUTH,501,391,224,3,72.0,1.3,1
2024-04-26,PROD0001,WH-SOUTH,488,449,287,6,72.56,1.1,1
2024-04-27,PROD0001,WH-EAST,530,383,207,10,43.95,1.4,1
2024-04-28,PROD0001,WH-NORTH,719,313,74,12,52.1,2.3,1
2024-04-29,PROD0001,WH-NORTH,639,361,148,12,197.47,1.8,1
2024-04-30,PROD0001,WH-EAST,1033,477,133,7,143.57,2.2,1
2024-05-01,PROD0001,WH-EAST,461,406,253,4,68.77,1.1,1
2024-05-02,PROD0001,WH-EAST,904,322,21,3,122.0,2.8,1
2024-05-03,PROD0001,WH-SOUTH,999,409,76,4,56.43,2.4,1
2024-05-04,PROD0001,WH-EAST,640,150,0,9,87.08,4.3,0
2024-05-05,PROD0001,WH-EAST,608,514,312,6,31.79,1.2,1
2024-05-06,PROD0001,WH-NORTH,743,375,128,9,193.39,2.0,1
2024-05-07,PROD0001,WH-NORTH,783,325,64,3,163.47,2.4,1
2024-05-08,PROD0001,WH-SOUTH,209,433,364,3,123.31,0.5,1
2024-05-09,PROD0001,WH-EAST,840,544,264,12,173.46,1.5,1
2024-05-10,PROD0001,WH-EAST,1062,461,107,9,35.97,2.3,1
2024-05-11,PROD0001,WH-NORTH,1086,446,84,11,13.09,2.4,1
2024-05-12,PROD0001,WH-SOUTH,485,388,227,4,166.12,1.2,1
